directions	positions	probs
TtoG	pos1	3.6963057215e-140
TtoG	pos0:pos1	7.17799648338e-32
TtoG	pos0	1.39302855224e-27
TtoG	pos3	6.34358646677e-16
TtoG	pos1:pos2	6.84097989793e-16
TtoG	pos1:pos3	3.80696304884e-10
TtoG	pos2	9.54237790477e-09
TtoG	pos1:pos2:pos3	2.5055532073e-08
TtoG	pos2:pos3	3.65662249179e-07
TtoG	pos0:pos2	9.1812755862e-06
TtoG	pos0:pos1:pos2:pos3	0.000487903650703
TtoG	pos0:pos1:pos2	0.00646445570864
TtoA	pos1	5.7901104205e-285
TtoA	pos0	1.12973243297e-61
TtoA	pos2:pos3	4.12925301013e-51
TtoA	pos1:pos2	3.38562443024e-23
TtoA	pos0:pos1	4.19584702248e-22
TtoA	pos2	2.04602556878e-16
TtoA	pos3	1.47639304876e-15
TtoA	pos0:pos1:pos2	3.63443039208e-12
TtoA	pos0:pos2	9.37636456741e-09
TtoA	pos1:pos3	1.31852580981e-06
TtoA	pos1:pos2:pos3	1.18231872901e-05
TtoA	pos0:pos3	0.00633597202008
AtoC	pos2	2.49892045735e-112
AtoC	pos0	9.22580612246e-41
AtoC	pos3	8.55412313629e-33
AtoC	pos1	9.81435639591e-30
AtoC	pos1:pos2	9.24253155967e-26
AtoC	pos0:pos1	2.11914854378e-20
AtoC	pos0:pos2	1.89879337424e-09
AtoC	pos0:pos2:pos3	0.000172481733126
AtoC	pos1:pos2:pos3	0.000320206591098
AtoC	pos1:pos3	0.00048938346327
AtoC	pos0:pos1:pos2	0.000504053115067
AtoC	pos2:pos3	0.00105108487975
GtoA	pos2	0
GtoA	pos1	0
GtoA	pos0	3.91828689998e-117
GtoA	pos0:pos1	2.52742854773e-53
GtoA	pos3	1.94458872016e-37
GtoA	pos1:pos2	1.91672349534e-20
GtoA	pos0:pos2	1.03403910074e-12
GtoA	pos2:pos3	1.1305631114e-11
GtoA	pos1:pos2:pos3	1.24962167198e-07
GtoA	pos0:pos1:pos2	1.23436184134e-06
GtoA	pos0:pos1:pos3	1.77777418054e-05
GtoA	pos0:pos2:pos3	0.000205329189224
GtoA	pos0:pos1:pos2:pos3	0.000212473196438
GtoA	pos1:pos3	0.00390307860671
GtoT	pos2	1.89772898423e-130
GtoT	pos1	1.8263155736e-48
GtoT	pos0:pos1	6.62203323174e-28
GtoT	pos2:pos3	4.48707730008e-22
GtoT	pos1:pos2	3.1423475069e-21
GtoT	pos0	1.08058759942e-12
GtoT	pos0:pos2	1.18571519877e-09
GtoT	pos1:pos3	9.8293595457e-06
GtoT	pos1:pos2:pos3	0.00244822842381
